stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
317253,317253,"NightJar Dr at Gecko Crescent",, -27.849609, 153.293232,4,https://translink.com.au/stop/317253/gtfs/,0,,
3173,003173,"Denham St near Phillips St, stop 32",, -27.327995, 153.042351,2,https://translink.com.au/stop/003173/gtfs/,0,,
317303,317303,"Wilruna St at Wilga Street",, -27.593132, 152.922192,2,https://translink.com.au/stop/317303/gtfs/,0,,
317398,317398,"Sancroft St near Melbury St",, -27.658407, 152.690628,3,https://translink.com.au/stop/317398/gtfs/,0,,
3174,003174,"Denham St near Phillips St, stop 32",, -27.327649, 153.042278,2,https://translink.com.au/stop/003174/gtfs/,0,,
317436,317436,"Woodend Rd near Macrae St",, -27.606597, 152.751446,3,https://translink.com.au/stop/317436/gtfs/,0,,
317443,317443,"Mount Lindesay Hwy at Woodhill School",, -27.893272, 152.973515,4,https://translink.com.au/stop/317443/gtfs/,0,,
317444,317444,"Mount Lindesay Hwy at Woodhill School",, -27.892976, 152.973649,4,https://translink.com.au/stop/317444/gtfs/,0,,
317447,317447,"North Rd at Defiance Road",, -27.634296, 153.102666,2,https://translink.com.au/stop/317447/gtfs/,0,,
317463,317463,"Pine Grove Rd at Woombye State School",, -26.667739, 152.973528,6,https://translink.com.au/stop/317463/gtfs/,0,,
317476,317476,"Cobbs Rd near Paynter Park Dr hail 'n' ride",, -26.654344, 152.966436,6,https://translink.com.au/stop/317476/gtfs/,0,,
317485,317485,"Cobbs Rd near Countryview St hail 'n' ride",, -26.647762, 152.959834,6,https://translink.com.au/stop/317485/gtfs/,0,,
317486,317486,"Cobbs Rd near Countryview St hail 'n' ride",, -26.647538, 152.959841,6,https://translink.com.au/stop/317486/gtfs/,0,,
317487,317487,"Cobbs Rd near Paynter Park Dr hail 'n' ride",, -26.654112, 152.966158,6,https://translink.com.au/stop/317487/gtfs/,0,,
317495,317495,"Worongary Rd near Random Way hail 'n' ride",, -28.060000, 153.339105,5,https://translink.com.au/stop/317495/gtfs/,0,,
317497,317497,"Worongary Rd near Woodvale Dr hail 'n' ride",, -28.063111, 153.342846,5,https://translink.com.au/stop/317497/gtfs/,0,,
3175,003175,"Denham St near Childs St, stop 33",, -27.325805, 153.042645,2,https://translink.com.au/stop/003175/gtfs/,0,,
317542,317542,"Tristania St near Ruthven Ct",, -27.657778, 152.740238,3,https://translink.com.au/stop/317542/gtfs/,0,,
317543,317543,"Deebing Creek Rd at Amberley State School",, -27.655312, 152.751215,3,https://translink.com.au/stop/317543/gtfs/,0,,
317547,317547,"Equestrian Dr near Arabian Cl",, -27.659513, 152.758292,3,https://translink.com.au/stop/317547/gtfs/,0,,
317548,317548,"Equestrian Dr near Mustang St",, -27.662904, 152.756638,3,https://translink.com.au/stop/317548/gtfs/,0,,
